id,movie_uri,text,text_length,num_triples,triples
1,http://dbpedia.org/resource/Ca-bau-kan,"Ca-bau-kan, also known as The Courtesan, is a 2002 Indonesian romantic comedy film, directed by Nia Dinata, and starring Niniek L. Karim, Ferry Salim and Lola Amaria. It was distributed by Kalyana Shira Film and released on February 7, 2002 in Jakarta. The film was screened at the 2003 Palm Springs International Film Festival.",328,7,"(dbr:Ca-bau-kan, dbo:runtime, 7200.0) | (dbr:Ca-bau-kan, dbo:director, dbr:Nia_Dinata) | (dbr:Ca-bau-kan, dbo:producer, dbr:Nia_Dinata) | (dbr:Ca-bau-kan, dbo:starring, dbr:Niniek_L._Karim) | (dbr:Ca-bau-kan, dbo:starring, dbr:Ferry_Salim) | (dbr:Ca-bau-kan, dbo:starring, dbr:Lola_Amaria) | (dbr:Ca-bau-kan, dbo:writer, dbr:Nia_Dinata)"
2,http://dbpedia.org/resource/Cab_Calloway's_Jitterbug_Party,"Cab Calloway's Jitterbug Party is a 1935 American musical short film which was released by Paramount Pictures. In 2001, the film was reissued by Kino International in the DVD collection Hollywood Rhythm: Vol. 1-The Best Of Jazz And Blues.",238,6,"(dbr:Cab_Calloway's_Jitterbug_Party, dbo:runtime, 480.0) | (dbr:Cab_Calloway's_Jitterbug_Party, dbo:director, dbr:Fred_Waller) | (dbr:Cab_Calloway's_Jitterbug_Party, dbo:producer, dbr:Adolph_Zukor) | (dbr:Cab_Calloway's_Jitterbug_Party, dbo:starring, dbr:Cab_Calloway) | (dbr:Cab_Calloway's_Jitterbug_Party, dbo:writer, dbr:Fred_Rath_(screenwriter)) | (dbr:Cab_Calloway's_Jitterbug_Party, dbo:writer, dbr:Milton_Hockey)"
3,http://dbpedia.org/resource/Cab_No._13,"Cab No. 13 is a 1926 drama film directed by Michael Curtiz and starring Lili Damita, Jack Trevor and Walter Rilla.",114,4,"(dbr:Cab_No._13, dbo:runtime, 4680.0) | (dbr:Cab_No._13, dbo:director, dbr:Michael_Curtiz) | (dbr:Cab_No._13, dbo:producer, dbr:Arnold_Pressburger) | (dbr:Cab_No._13, dbo:writer, dbr:Alfred_Schirokauer)"
4,http://dbpedia.org/resource/Cab_Number_13,"Cab Number 13 is a 1948 French-Italian historical crime melodrama film directed by Mario Mattoli and starring Vera Carmi, Ginette Leclerc and Sandro Ruffini.",157,6,"(dbr:Cab_Number_13, dbo:runtime, 5400.0) | (dbr:Cab_Number_13, dbo:director, dbr:Mario_Mattoli) | (dbr:Cab_Number_13, dbo:director, dbr:Raoul_André) | (dbr:Cab_Number_13, dbo:starring, dbr:Vera_Carmi) | (dbr:Cab_Number_13, dbo:writer, dbr:André_Hugon) | (dbr:Cab_Number_13, dbo:writer, dbr:Xavier_de_Montépin)"
5,http://dbpedia.org/resource/Caballo_prieto_azabache_(film),"Caballo prieto azabache (La tumba de Villa) is a 1968 Mexican historical drama film starring Antonio Aguilar, Flor Silvestre, and Jaime Fernández. It focuses on a horse breeder named Jesús who is set on buying a horse known as ""Caballo prieto"" (dark horse) and pursuing a relationship with a singer named Genoveva Alarios. With he and Genoveva eventually recruited as spies for the revolutionary leader Pancho Villa. The film was successful at the box-office and stayed in theaters for a surprising nine weeks.",510,4,"(dbr:Caballo_prieto_azabache_(film), dbo:runtime, 5100.0) | (dbr:Caballo_prieto_azabache_(film), dbo:starring, dbr:Jaime_Fernández_(actor)) | (dbr:Caballo_prieto_azabache_(film), dbo:starring, dbr:Antonio_Aguilar) | (dbr:Caballo_prieto_azabache_(film), dbo:starring, dbr:Flor_Silvestre)"
6,http://dbpedia.org/resource/Cabaret_(1927_film),"Cabaret is a 1927 American silent crime drama film produced by Famous Players–Lasky, distributed by Paramount Pictures, directed by Robert G. Vignola, and starring Gilda Gray.",175,6,"(dbr:Cabaret_(1927_film), dbo:director, dbr:Robert_G._Vignola) | (dbr:Cabaret_(1927_film), dbo:producer, dbr:Adolph_Zukor) | (dbr:Cabaret_(1927_film), dbo:producer, dbr:Jesse_L._Lasky) | (dbr:Cabaret_(1927_film), dbo:starring, dbr:Gilda_Gray) | (dbr:Cabaret_(1927_film), dbo:writer, dbr:Becky_Gardiner) | (dbr:Cabaret_(1927_film), dbo:writer, dbr:Owen_Davis)"
7,http://dbpedia.org/resource/Cabaret_(1972_film),"Cabaret is a 1972 American musical drama film directed and choreographed by Bob Fosse from a screenplay by Jay Presson Allen. It is based on the 1966 stage musical by Joe Masteroff (book) and the duo Kander and Ebb (music), which in turn was based on the 1951 play I Am a Camera by John Van Druten and the 1939 novel Goodbye to Berlin by Christopher Isherwood. It stars Liza Minnelli, Michael York, Helmut Griem, Marisa Berenson, and Joel Grey. Multiple numbers from the stage score were used for the film, which also featured three other songs by Kander and Ebb, including two written for the adaptation.",605,10,"(dbr:Cabaret_(1972_film), dbo:runtime, 7440.0) | (dbr:Cabaret_(1972_film), dbo:director, dbr:Bob_Fosse) | (dbr:Cabaret_(1972_film), dbo:producer, dbr:Cy_Feuer) | (dbr:Cabaret_(1972_film), dbo:starring, dbr:Fritz_Wepper) | (dbr:Cabaret_(1972_film), dbo:starring, dbr:Liza_Minnelli) | (dbr:Cabaret_(1972_film), dbo:starring, dbr:Helmut_Griem) | (dbr:Cabaret_(1972_film), dbo:starring, dbr:Joel_Grey) | (dbr:Cabaret_(1972_film), dbo:starring, dbr:Marisa_Berenson) | (dbr:Cabaret_(1972_film), dbo:starring, dbr:Michael_York) | (dbr:Cabaret_(1972_film), dbo:writer, dbr:Jay_Presson_Allen)"
8,http://dbpedia.org/resource/Cabaret_(2019_film),"Cabaret is a 2019 Indian romantic drama thriller dance film directed by Kaustav Narayan Niyogi, produced by Pooja Bhatt, Rahul Mittra and Bhushan Kumar under the banner of Fisheye Network private limited. Principal photography of the film began around 9 June 2015. Originally scheduled for a 2016 release, alleged copyright violations led to delays before its eventual release on 9 January 2019. It was released on the ZEE5 on 9 January 2019.",442,8,"(dbr:Cabaret_(2019_film), dbo:producer, dbr:Bhushan_Kumar) | (dbr:Cabaret_(2019_film), dbo:producer, dbr:Pooja_Bhatt) | (dbr:Cabaret_(2019_film), dbo:producer, dbr:Rahul_Mittra) | (dbr:Cabaret_(2019_film), dbo:starring, dbr:Richa_Chadda) | (dbr:Cabaret_(2019_film), dbo:starring, dbr:S._Sreesanth) | (dbr:Cabaret_(2019_film), dbo:starring, dbr:Gulshan_Devaiah) | (dbr:Cabaret_(2019_film), dbo:writer, dbr:Bhushan_Kumar) | (dbr:Cabaret_(2019_film), dbo:writer, dbr:Pooja_Bhatt)"
9,http://dbpedia.org/resource/Cabaret_Balkan,"Cabaret Balkan is a 1998 Serbian film directed by Goran Paskaljević starring Miki Manojlović and Nebojša Glogovac. Its original Serbian language title is Буре барута which means Powder Keg. It was released in English speaking countries under the title of Cabaret Balkan, with the official reason for the name change being that Kevin Costner had already registered a film project under the title Powder Keg. The film received a number of distinctions, including a FIPRESCI award at the Venice Film Festival in 1998. It was based on a play by the same title by Dejan Dukovski. The film was selected as the Serbian entry for the Best Foreign Language Film at the 71st Academy Awards, but was not accepted as a nominee.",715,13,"(dbr:Cabaret_Balkan, dbo:runtime, 6120.0) | (dbr:Cabaret_Balkan, dbo:director, dbr:Goran_Paskaljević) | (dbr:Cabaret_Balkan, dbo:producer, dbr:Goran_Paskaljević) | (dbr:Cabaret_Balkan, dbo:producer, dbr:Martine_de_Clermont-Tonnerre) | (dbr:Cabaret_Balkan, dbo:starring, dbr:Bata_Živojinović) | (dbr:Cabaret_Balkan, dbo:starring, dbr:Bogdan_Diklić) | (dbr:Cabaret_Balkan, dbo:starring, dbr:Mirjana_Karanović) | (dbr:Cabaret_Balkan, dbo:starring, dbr:Dragan_Nikolić) | (dbr:Cabaret_Balkan, dbo:starring, dbr:Miki_Manojlović) | (dbr:Cabaret_Balkan, dbo:starring, dbr:Nebojša_Glogovac) | (dbr:Cabaret_Balkan, dbo:starring, dbr:Sergej_Trifunović) | (dbr:Cabaret_Balkan, dbo:writer, dbr:Goran_Paskaljević) | (dbr:Cabaret_Balkan, dbo:writer, dbr:Filip_David)"
10,http://dbpedia.org/resource/Cabaret_Dancer,"Cabaret Dancer is a 1986 Indian Malayalam film, directed by N. Sankaran Nair and produced by S. Kumar. The film stars Anuradha, M. G. Soman, Santhosh and Sathaar in the lead roles. The film has musical score by Shyam.",217,6,"(dbr:Cabaret_Dancer, dbo:director, dbr:N._Sankaran_Nair) | (dbr:Cabaret_Dancer, dbo:starring, dbr:Sathaar) | (dbr:Cabaret_Dancer, dbo:starring, dbr:Anuradha_(actress)) | (dbr:Cabaret_Dancer, dbo:starring, dbr:M._G._Soman) | (dbr:Cabaret_Dancer, dbo:starring, dbr:Santhosh_(actor)) | (dbr:Cabaret_Dancer, dbo:writer, dbr:Sastha)"
